domain,tld,category,severity,ip,ip_country,registered,notes
05630.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05668.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05677.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05684.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05741.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05746.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05755.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05759.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05782.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05879.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05911.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05932.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05937.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05958.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05959.cfd,cfd,,HIGH,,,,Confirmed by hagezi
05968.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06028.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06041.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06067.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06105.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06162.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06227.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06248.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06264.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06280.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06295.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06328.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06348.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06357.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06404.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06408.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06419.cfd,cfd,,HIGH,,,,Confirmed by hagezi
0642fab1.rmfzkg.cyou,cyou,,HIGH,,,,Confirmed by mitchellkrogza
06466.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06524.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06553.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06591.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06676.cfd,cfd,,HIGH,,,,Confirmed by hagezi
06685.cfd,cfd,,HIGH,,,,Confirmed by hagezi
